iter	RMSE
0	11.46076686
1	11.09698566
2	10.757089
3	10.43348012
4	10.13737673
5	9.858950715
6	9.595078279
7	9.348653944
8	9.117498284
9	8.906404046
10	8.698714947
11	8.507384781
12	8.33019319
13	8.167840163
14	8.017623349
15	7.873450993
16	7.743591746
17	7.619075236
18	7.504604813
19	7.399256652
20	7.299440092
21	7.20703163
22	7.120646883
23	7.040870241
24	6.966799161
25	6.897590637
26	6.834492684
27	6.775303239
28	6.720465683
29	6.668834952
30	6.621552738
31	6.576934474
32	6.535421594
33	6.498287552
34	6.463332805
35	6.429933508
36	6.399210534
37	6.370331427
38	6.344388617
39	6.31978123
40	6.297156517
41	6.276225941
42	6.256384338
43	6.236918289
44	6.219647356
45	6.203716979
46	6.187784393
47	6.17339093
48	6.160135485
49	6.147989007
50	6.13630312
51	6.124465585
52	6.114654601
53	6.104922757
54	6.095488798
55	6.08658069
56	6.077660192
57	6.06980704
58	6.062123757
59	6.055372853
60	6.049293308
61	6.042695496
62	6.036634677
63	6.031209468
64	6.025981701
65	6.020968891
66	6.015868098
67	6.011876267
68	6.00731552
69	6.003052629
70	5.998556555
71	5.994942265
72	5.991205897
73	5.987873624
74	5.984266756
75	5.980243696
76	5.97689235
77	5.974042769
78	5.97056104
79	5.967511185
80	5.964592044
81	5.961558375
82	5.959281751
83	5.957119576
84	5.954638089
85	5.952356051
86	5.950152178
87	5.94787015
88	5.945957278
89	5.943756583
90	5.941847256
91	5.939896401
92	5.93801051
93	5.936018225
94	5.934444915
95	5.932616662
96	5.930896455
97	5.929088719
98	5.927495129
99	5.926027331
100	5.924694638
101	5.923244334
102	5.921895149
103	5.920121343
104	5.918760283
105	5.917417166
106	5.91599374
107	5.914905851
108	5.913810251
109	5.912567324
110	5.911368857
111	5.910450244
112	5.909223284
113	5.908131265
114	5.907083973
115	5.90606024
116	5.905094642
117	5.903985038
118	5.903009996
119	5.902187551
120	5.90143535
121	5.9002517
122	5.899421267
123	5.898639406
124	5.897803199
125	5.897140561
126	5.89624508
127	5.895545594
128	5.89486883
129	5.894219264
130	5.893335635
131	5.89248548
132	5.891543217
133	5.890472004
134	5.889777804
135	5.88924869
136	5.888457073
137	5.887813422
138	5.886925781
139	5.886292837
140	5.885739379
141	5.884981882
142	5.884373012
143	5.883739401
144	5.883187881
145	5.882565461
146	5.882091439
147	5.881570646
148	5.880856649
149	5.880200389
150	5.879306278
151	5.87846718
152	5.877930395
153	5.877557093
154	5.87694955
155	5.876509447
156	5.876168801
157	5.875703481
158	5.875077436
159	5.874613345
160	5.874108233
161	5.873778806
162	5.873482053
163	5.873139289
164	5.872767758
165	5.872356975
166	5.871896446
167	5.871634076
168	5.871107573
169	5.870662784
170	5.870273243
171	5.869956919
172	5.869544713
173	5.869304332
174	5.868645919
175	5.867894492
176	5.867535979
177	5.86712238
178	5.866770453
179	5.866324871
180	5.865742425
181	5.865410215
182	5.864951562
183	5.864631109
184	5.864335786
185	5.864037104
186	5.863415651
187	5.86296579
188	5.862399964
189	5.862027137
190	5.861775581
191	5.861498589
192	5.860819052
193	5.860435268
194	5.859802043
195	5.859499754
196	5.859226723
197	5.858769885
198	5.85846772
199	5.858185386
200	5.857936718
201	5.857559841
202	5.857238216
203	5.856951745
204	5.856682765
205	5.856294358
206	5.855752253
207	5.855463547
208	5.855260321
209	5.855109138
210	5.854534847
211	5.853945768
212	5.853534308
213	5.853165625
214	5.853005093
215	5.852654218
216	5.852380074
217	5.852113002
218	5.851724299
219	5.851471057
220	5.851173993
221	5.850856025
222	5.850653697
223	5.850320628
224	5.850182142
225	5.849924649
226	5.849633894
227	5.849034213
228	5.848591864
229	5.848232307
230	5.847928312
231	5.847711533
232	5.847320323
233	5.846921729
234	5.846748964
235	5.846480813
236	5.846172399
237	5.845839343
238	5.845574284
239	5.845282252
240	5.845024033
241	5.844633518
242	5.844321406
243	5.843853393
244	5.843508171
245	5.843211724
246	5.842798255
247	5.842627584
248	5.842155876
249	5.841831163
250	5.841660905
251	5.841333855
252	5.841078127
253	5.840762406
254	5.840526332
255	5.840119397
256	5.83987352
257	5.839361888
258	5.839198179
259	5.838997011
260	5.838850603
261	5.838395477
262	5.838192084
263	5.837771657
264	5.837483813
265	5.837099469
266	5.836823767
267	5.836705377
268	5.836401439
269	5.836245696
270	5.836037368
271	5.835545191
272	5.835321323
273	5.835143451
274	5.834949413
275	5.834513479
276	5.834202675
277	5.833917353
278	5.833507531
279	5.833164363
280	5.832893312
281	5.832482843
282	5.832305989
283	5.832119389
284	5.831918175
285	5.831677825
286	5.831370512
287	5.831209146
288	5.830913616
289	5.830603718
290	5.830495592
291	5.830436889
292	5.830178616
293	5.830023817
294	5.829648925
295	5.82925943
296	5.828882108
297	5.82861218
298	5.828377237
299	5.827863069
300	5.827702399
301	5.827489796
302	5.827326992
303	5.827073644
304	5.826847889
305	5.826706499
306	5.826425068
307	5.826300075
308	5.826130585
309	5.825784015
310	5.825614725
311	5.825580513
312	5.825169902
313	5.824937371
314	5.824496792
315	5.82422362
316	5.824067212
317	5.82389563
318	5.823677884
319	5.823414507
320	5.823247532
321	5.822905359
322	5.822435532
323	5.82223924
324	5.822063239
325	5.821822203
326	5.821716645
327	5.821560438
328	5.821241461
329	5.821009781
330	5.820867804
331	5.820742349
332	5.820535334
333	5.820285666
334	5.820150511
335	5.819853327
336	5.81965098
337	5.81950093
338	5.819148743
339	5.818887725
340	5.818829575
341	5.818611779
342	5.818517602
343	5.818183562
344	5.817820954
345	5.817542556
346	5.817464559
347	5.817140234
348	5.816867668
349	5.816707474
350	5.816629759
351	5.816485475
352	5.816230306
353	5.816006688
354	5.815731142
355	5.815524708
356	5.815191147
357	5.815003943
358	5.814770271
359	5.814612122
360	5.814535695
361	5.814258067
362	5.813915726
363	5.813690163
364	5.813372045
365	5.813004524
366	5.812784423
367	5.812579881
368	5.81218194
369	5.812003553
370	5.811720901
371	5.811470768
372	5.811228682
373	5.810933969
374	5.810624877
375	5.81050915
376	5.810349087
377	5.810121943
378	5.80993986
379	5.809817641
380	5.809445777
381	5.809185368
382	5.808949588
383	5.808667198
384	5.808502864
385	5.808496037
386	5.808195702
387	5.808047464
388	5.807845397
389	5.807598302
390	5.807441735
391	5.807086241
392	5.806875274
393	5.806595441
394	5.80624255
395	5.806114496
396	5.805863888
397	5.805661669
398	5.805424824
399	5.805274312
400	5.804940791
401	5.804739072
402	5.804512562
403	5.804399716
404	5.804211275
405	5.804014822
406	5.803790014
407	5.80352592
408	5.803353391
409	5.803185095
410	5.802928381
411	5.802705236
412	5.802699737
413	5.802401789
414	5.802210364
415	5.801933247
416	5.801644613
417	5.801638202
418	5.801382678
419	5.801279082
420	5.801146374
421	5.800958589
422	5.800708724
423	5.800273366
424	5.799881341
425	5.79943451
426	5.799300407
427	5.798759468
428	5.798449703
429	5.79826556
430	5.798053799
431	5.797849263
432	5.797520598
433	5.797292301
434	5.797076614
435	5.796923025
436	5.796918107
437	5.796913593
438	5.796709574
439	5.796365717
440	5.796224664
441	5.795957753
442	5.795614421
443	5.795370205
444	5.795147886
445	5.795031729
446	5.794668551
447	5.794448534
448	5.794089818
449	5.793731315
450	5.793455558
451	5.793452148
452	5.793298352
453	5.793294152
454	5.793160093
455	5.79294388
456	5.792938935
457	5.792807923
458	5.792674222
459	5.792180532
460	5.791947582
461	5.791676072
462	5.791451741
463	5.791447835
464	5.791192609
465	5.790972593
466	5.790682541
467	5.790320382
468	5.790089125
469	5.78969028
470	5.789547338
471	5.789224179
472	5.78886188
473	5.78866064
474	5.788369663
475	5.788165872
476	5.787902889
477	5.787586309
478	5.787325102
479	5.787320607
480	5.787021834
481	5.786637743
482	5.786337391
483	5.786070711
484	5.785868852
485	5.785661207
486	5.785410973
487	5.785105008
488	5.784888352
489	5.78466527
490	5.784371942
491	5.784012303
492	5.783911986
493	5.783639209
494	5.783456214
495	5.783274778
496	5.782982947
497	5.782877371
498	5.782700275
499	5.782696822
