iter	Passed	Remaining
0	5	2780
1	10	2657
2	14	2474
3	19	2428
4	23	2340
5	28	2322
6	32	2286
7	36	2245
8	40	2227
9	45	2213
10	49	2187
11	53	2173
12	58	2175
13	62	2163
14	66	2147
15	70	2134
16	74	2114
17	78	2108
18	82	2100
19	86	2087
20	90	2075
21	95	2071
22	99	2063
23	103	2057
24	107	2050
25	112	2043
26	116	2038
27	120	2032
28	124	2025
29	128	2020
30	132	2009
31	137	2004
32	141	2000
33	145	1992
34	149	1981
35	153	1975
36	157	1974
37	162	1969
38	166	1963
39	170	1960
40	174	1955
41	179	1960
42	184	1956
43	188	1956
44	193	1951
45	197	1948
46	201	1940
47	206	1943
48	211	1943
49	216	1944
50	220	1941
51	224	1937
52	229	1938
53	234	1934
54	238	1930
55	242	1924
56	246	1917
57	250	1908
58	255	1907
59	258	1897
60	263	1893
61	266	1885
62	271	1882
63	275	1874
64	279	1868
65	282	1860
66	287	1856
67	291	1850
68	295	1845
69	299	1839
70	303	1834
71	307	1828
72	312	1825
73	315	1817
74	319	1811
75	323	1806
76	328	1803
77	332	1797
78	336	1794
79	341	1792
80	346	1791
81	353	1803
82	367	1845
83	373	1849
84	380	1855
85	392	1889
86	398	1890
87	404	1892
88	410	1897
89	416	1895
90	420	1890
91	425	1888
92	429	1881
93	434	1877
94	439	1872
95	444	1869
96	448	1864
97	454	1863
98	460	1867
99	466	1867
100	473	1869
101	479	1872
102	484	1868
103	489	1864
104	494	1860
105	499	1857
106	505	1855
107	509	1849
108	514	1844
109	520	1843
110	534	1874
111	545	1891
112	554	1900
113	562	1904
114	568	1902
115	575	1905
116	582	1906
117	589	1908
118	597	1912
119	602	1908
120	608	1904
121	613	1900
122	618	1895
123	624	1892
124	629	1887
125	633	1879
126	638	1874
127	642	1867
128	647	1861
129	652	1857
130	658	1855
131	664	1853
132	668	1844
133	672	1838
134	677	1831
135	682	1827
136	687	1822
137	692	1816
138	696	1809
139	702	1806
140	708	1804
141	713	1798
142	716	1789
143	720	1781
144	723	1772
145	727	1764
146	731	1756
147	734	1747
148	739	1741
149	743	1734
150	747	1728
151	751	1721
152	756	1714
153	760	1709
154	765	1703
155	769	1695
156	773	1688
157	777	1682
158	781	1675
159	784	1667
160	788	1660
161	792	1653
162	796	1646
163	799	1638
164	803	1631
165	807	1625
166	812	1619
167	815	1611
168	820	1606
169	823	1598
170	827	1592
171	831	1586
172	835	1580
173	839	1572
174	843	1566
175	847	1560
176	851	1554
177	855	1547
178	858	1540
179	863	1534
180	867	1529
181	871	1523
182	875	1517
183	879	1509
184	882	1502
185	886	1496
186	891	1492
187	896	1487
188	900	1481
189	904	1476
190	908	1469
191	911	1462
192	915	1456
193	919	1450
194	923	1444
195	927	1439
196	931	1432
197	936	1428
198	939	1421
199	943	1415
200	947	1409
201	951	1403
202	954	1397
203	959	1391
204	963	1385
205	966	1379
206	970	1373
207	974	1368
208	978	1362
209	981	1355
210	985	1349
211	989	1344
212	994	1340
213	998	1333
214	1001	1327
215	1005	1321
216	1009	1316
217	1016	1315
218	1020	1309
219	1024	1304
220	1029	1299
221	1032	1293
222	1036	1287
223	1041	1282
224	1044	1277
225	1049	1272
226	1053	1266
227	1057	1261
228	1062	1257
229	1067	1252
230	1072	1248
231	1076	1243
232	1081	1239
233	1085	1234
234	1089	1228
235	1094	1224
236	1099	1220
237	1103	1215
238	1108	1210
239	1113	1205
240	1117	1200
241	1121	1195
242	1126	1190
243	1131	1187
244	1136	1182
245	1141	1178
246	1145	1173
247	1149	1168
248	1154	1163
249	1159	1159
250	1163	1154
251	1168	1150
252	1173	1145
253	1178	1141
254	1183	1137
255	1189	1133
256	1194	1129
257	1199	1125
258	1204	1120
259	1208	1115
260	1213	1111
261	1218	1106
262	1222	1101
263	1227	1097
264	1231	1092
265	1236	1087
266	1241	1083
267	1246	1078
268	1250	1074
269	1255	1069
270	1259	1064
271	1263	1059
272	1267	1054
273	1272	1049
274	1276	1044
275	1280	1039
276	1286	1035
277	1291	1031
278	1296	1026
279	1301	1022
280	1306	1018
281	1312	1014
282	1317	1009
283	1321	1005
284	1326	1000
285	1331	996
286	1336	991
287	1341	987
288	1346	983
289	1350	978
290	1355	973
291	1359	968
292	1364	963
293	1368	958
294	1372	953
295	1376	948
296	1380	943
297	1384	938
298	1388	933
299	1392	928
300	1396	923
301	1400	918
302	1404	912
303	1408	907
304	1412	902
305	1416	897
306	1420	892
307	1424	887
308	1428	882
309	1432	877
310	1436	872
311	1440	867
312	1445	863
313	1449	858
314	1453	853
315	1457	848
316	1461	843
317	1465	838
318	1470	834
319	1474	829
320	1478	824
321	1483	819
322	1487	815
323	1491	810
324	1495	805
325	1500	800
326	1504	795
327	1507	790
328	1511	785
329	1516	781
330	1520	776
331	1524	771
332	1528	766
333	1532	761
334	1536	756
335	1540	752
336	1544	747
337	1549	742
338	1553	737
339	1557	732
340	1560	727
341	1564	722
342	1568	717
343	1572	712
344	1576	708
345	1580	703
346	1584	698
347	1588	693
348	1593	689
349	1597	684
350	1601	679
351	1605	674
352	1609	670
353	1613	665
354	1618	660
355	1621	656
356	1625	651
357	1629	646
358	1633	641
359	1636	636
360	1640	631
361	1644	627
362	1648	622
363	1652	617
364	1657	613
365	1661	608
366	1665	603
367	1669	598
368	1673	594
369	1677	589
370	1681	584
371	1685	579
372	1689	575
373	1693	570
374	1697	565
375	1701	560
376	1704	556
377	1708	551
378	1713	546
379	1716	542
380	1720	537
381	1725	532
382	1729	528
383	1733	523
384	1737	519
385	1740	514
386	1745	509
387	1748	504
388	1752	500
389	1756	495
390	1760	490
391	1764	486
392	1768	481
393	1772	476
394	1776	472
395	1780	467
396	1784	463
397	1788	458
398	1792	453
399	1796	449
400	1801	444
401	1805	440
402	1809	435
403	1813	430
404	1817	426
405	1821	421
406	1825	417
407	1829	412
408	1833	408
409	1838	403
410	1842	398
411	1846	394
412	1849	389
413	1853	385
414	1857	380
415	1861	375
416	1865	371
417	1869	366
418	1873	362
419	1876	357
420	1880	352
421	1884	348
422	1888	343
423	1892	339
424	1896	334
425	1900	330
426	1904	325
427	1909	321
428	1913	316
429	1917	312
430	1921	307
431	1925	303
432	1929	298
433	1933	293
434	1937	289
435	1940	284
436	1943	280
437	1947	275
438	1951	271
439	1955	266
440	1959	262
441	1963	257
442	1967	253
443	1971	248
444	1975	244
445	1979	239
446	1983	235
447	1988	230
448	1992	226
449	1997	221
450	2001	217
451	2005	212
452	2009	208
453	2012	203
454	2017	199
455	2021	195
456	2024	190
457	2029	186
458	2033	181
459	2037	177
460	2041	172
461	2046	168
462	2050	163
463	2053	159
464	2057	154
465	2062	150
466	2066	146
467	2070	141
468	2074	137
469	2078	132
470	2082	128
471	2087	123
472	2091	119
473	2095	114
474	2100	110
475	2103	106
476	2107	101
477	2111	97
478	2115	92
479	2119	88
480	2123	83
481	2127	79
482	2131	75
483	2136	70
484	2139	66
485	2143	61
486	2147	57
487	2151	52
488	2155	48
489	2159	44
490	2163	39
491	2167	35
492	2171	30
493	2175	26
494	2178	22
495	2182	17
496	2187	13
497	2191	8
498	2194	4
499	2197	0
